gas temperature(K)  saturation_pressure(mmHg) saturation_pressure(kPa)
N2 55.00    13.6770000  1.82345029
N2 56.44    20.4547000  2.72706944
N2 57.88    29.7033000  3.96011487
N2 59.32    42.0126000  5.60122013
N2 60.76    58.0348000  7.73733809
N2 62.20    78.4778000  10.4628476
N2 63.64    104.097000  13.8784606
N2 65.08    135.689000  18.0903814
N2 66.52    174.077000  23.2083612
N2 67.96    220.108000  29.3453240
N2 69.40    274.640000  36.6156605
N2 70.84    338.532000  45.1338944
N2 72.28    412.639000  55.0140166
N2 73.72    497.800000  66.3678844
N2 75.16    594.835000  79.3048223
N2 76.60    704.536000  93.9304215
N2 77.00    756.1088867 100.8062418709   
N2 78.04    6296.36940  839.447
N2 79.48    7382.12853  984.203
N2 80.92    8608.68173  1147.73
N2 82.36    9987.74494  1331.59
N2 83.80    11531.5967  1537.42
N2 85.24    13252.5380  1766.86
N2 86.68    15163.3198  2021.61
N2 88.12    17276.9183  2303.40
N2 89.56    19606.3096  2613.96
N2 91.00    22164.8446  2955.07
N2 92.44    24965.7246  3328.49
N2 93.88    28022.6005  3736.04
N2 95.32    31348.6736  4179.48
N2 96.76    34957.5948  4660.63
N2 98.20    38862.6404  5181.26
N2 99.64    43077.2364  5743.16
N2 101.0    47614.5089  6348.08
N2 102.5    52487.7340  6997.79
N2 103.9    57709.7377  7694.00
N2 105.4    63293.3461  8438.42
N2 106.8    69251.1602  9232.73
N2 108.2    75595.7060  10078.6
N2 109.7    82338.0095  10977.5
N2 111.1    89491.3468  11931.2
N2 112.6    97066.2186  12941.1
N2 114.0    105073.876  14008.7
N2 115.4    113525.570  15135.5
N2 116.9    122431.801  16322.9
N2 118.3    131803.070  17572.3
N2 119.8    141647.629  18884.8
N2 121.2    151976.727  20261.9
N2 122.6    162798.615  21704.7
N2 124.1    174122.295  23214.4
N2 125.5    185955.266  24792.0
N2 127.0    198306.530  26438.7
CO2 194.95  760         101.325
CO2 198     754.562     100.600
CO2 295.4   45600       6079.5
CO2 216.4   3887.569    518.3
CO2 217.    3988.827    531.8
CO2 219.    4343.607    579.1
CO2 221.    4722.388    629.6
CO2 223.    5125.921    683.4
CO2 225.    5554.956    740.6
CO2 227.    6010.243    801.3
CO2 229.    6492.533    865.6
CO2 231.    7004.075    933.8
CO2 233.    7543.369    1005.7
CO2 235.    8114.916    1081.9
CO2 237.    8714.215    1161.8
CO2 239.    9347.267    1246.2
CO2 241.    10014.072   1335.1
CO2 243.    10715.38    1428.6
CO2 244.11  11408.437   1521. 
CO2 245.22  11813.47    1575. 
CO2 246.33  12226.004   1630. 
CO2 247.44  12646.038   1686. 
CO2 248.56  13081.074   1744. 
CO2 249.67  13531.111   1804. 
CO2 250.78  13996.149   1866. 
CO2 251.89  14461.187   1928. 
CO2 253.    14948.727   1993. 
CO2 254.11  15443.768   2059. 
CO2 255.22  15856.302   2114. 
CO2 256.33  16478.853   2197. 
CO2 257.44  17018.897   2269. 
CO2 258.56  17573.943   2343. 
CO2 259.67  18136.489   2418. 
CO2 260.78  18714.036   2495. 
CO2 261.89  19306.585   2574. 
CO2 263.    19906.634   2654. 
CO2 264.11  20536.686   2738. 
CO2 265.22  21174.238   2823. 
CO2 266.33  21826.792   2910. 
CO2 267.44  22494.347   2999. 
CO2 268.56  23176.903   3090. 
CO2 269.11  23521.931   3136. 
CO2 270.22  24226.989   3230. 
